Date/Time,Word Count,de,en
2023.09.26-21.52.59,3698,0,3698
2023.09.26-22.40.03,3702,0,3702
2023.09.26-23.26.52,14562,0,14562
2023.09.27-11.26.47,3698,3686,3698
2023.09.27-11.32.23,14562,0,14562
2023.09.27-12.23.09,3698,3686,3698
2023.09.27-12.23.33,12015,0,12015
2023.09.27-12.33.28,3698,3686,3698
2023.09.27-12.34.11,12015,0,12015
2023.09.27-12.38.31,3698,3686,3698
2023.09.27-12.39.09,12015,0,12015
2023.09.27-12.56.39,3698,3686,3698
2023.09.27-12.57.05,12015,0,12015
2023.09.27-15.12.20,3698,0,3698
2023.09.27-15.12.45,12015,0,12015
